306106 [pool-10-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: RecursoVisualizadorEntornosSimulacion1, Receptor: AgenteControladorSimulador
308006 [AWT-EventQueue-0] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: RecursoVisualizadorEntornosSimulacion1, Receptor: AgenteControladorSimulador
319037 [pool-12-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
319707 [pool-18-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario4, Receptor: AgenteControladorSimulador
320757 [pool-18-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario4, Receptor: AgenteControladorSimulador
321677 [pool-18-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario4, Receptor: AgenteControladorSimulador
325628 [Timeout rescate1RobotIgualitario1CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
328429 [Timeout rescate1RobotIgualitario4CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario4, Receptor: AgenteControladorSimulador
333330 [Timeout rescate1RobotIgualitario4CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario4, Receptor: AgenteControladorSimulador
345421 [Timeout rescate1RobotIgualitario4CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario4, Receptor: AgenteControladorSimulador
395263 [AWT-EventQueue-0] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: RecursoVisualizadorEntornosSimulacion1, Receptor: AgenteControladorSimulador
397363 [pool-10-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: RecursoVisualizadorEntornosSimulacion1, Receptor: AgenteControladorSimulador
419773 [AWT-EventQueue-0] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: RecursoVisualizadorEntornosSimulacion1, Receptor: AgenteControladorSimulador
421643 [AWT-EventQueue-0] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: RecursoVisualizadorEntornosSimulacion1, Receptor: AgenteControladorSimulador
433183 [pool-12-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
434363 [pool-18-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario4, Receptor: AgenteControladorSimulador
435693 [pool-14-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
436913 [pool-14-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
437364 [Timeout rescate1RobotIgualitario1CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
438920 [pool-12-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
440470 [pool-12-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
441971 [pool-14-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
442723 [Timeout rescate1RobotIgualitario1CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
443023 [Timeout rescate1RobotIgualitario4CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario4, Receptor: AgenteControladorSimulador
444734 [Timeout rescate1RobotIgualitario2CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
449615 [Timeout rescate1RobotIgualitario1CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
450075 [pool-16-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario3, Receptor: AgenteControladorSimulador
453116 [Timeout rescate1RobotIgualitario2CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
458248 [Timeout rescate1RobotIgualitario3CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario3, Receptor: AgenteControladorSimulador
459018 [Timeout rescate1RobotIgualitario1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
461289 [Timeout rescate1RobotIgualitario2CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
462129 [pool-12-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
464850 [Timeout rescate1RobotIgualitario1CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
476712 [Timeout rescate1RobotIgualitario1CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
490462 [pool-10-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: RecursoVisualizadorEntornosSimulacion1, Receptor: AgenteControladorSimulador
492492 [AWT-EventQueue-0] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: RecursoVisualizadorEntornosSimulacion1, Receptor: AgenteControladorSimulador
505152 [pool-16-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario3, Receptor: AgenteControladorSimulador
506992 [pool-16-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario3, Receptor: AgenteControladorSimulador
509142 [pool-14-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
510573 [Timeout rescate1RobotIgualitario3CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario3, Receptor: AgenteControladorSimulador
511543 [pool-14-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
516584 [Timeout rescate1RobotIgualitario2CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
523425 [Timeout rescate1RobotIgualitario3CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario3, Receptor: AgenteControladorSimulador
523746 [Timeout rescate1RobotIgualitario2CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
525786 [pool-14-thread-1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
531097 [Timeout rescate1RobotIgualitario2CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
538099 [Timeout rescate1RobotIgualitario3] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario3, Receptor: AgenteControladorSimulador
542400 [Timeout rescate1RobotIgualitario3CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario3, Receptor: AgenteControladorSimulador
545980 [Timeout rescate1RobotIgualitario2] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
552200 [Timeout rescate1RobotIgualitario3] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario3, Receptor: AgenteControladorSimulador
552951 [Timeout rescate1RobotIgualitario2CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario2, Receptor: AgenteControladorSimulador
559861 [Timeout rescate1RobotIgualitario1] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
567711 [Timeout rescate1RobotIgualitario4] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario4, Receptor: AgenteControladorSimulador
568272 [Timeout rescate1RobotIgualitario1CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario1, Receptor: AgenteControladorSimulador
569243 [Timeout rescate1RobotIgualitario3CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario3, Receptor: AgenteControladorSimulador
574584 [Timeout rescate1RobotIgualitario4CompMovimiento] DEBUG icaro.infraestructura.patronAgenteReactivo.factoriaEInterfaces.imp.AgenteReactivoImp2  - AgenteControladorSimulador: Ha llegado un mensaje por el interfaz de Uso:Emisor: rescate1RobotIgualitario4, Receptor: AgenteControladorSimulador
